trade_partner,sku,product_type,total_quantity,mean_quantity,median_quantity,total_gross_sales,mean_gross_sales,median_gross_sales,total_dcm,mean_dcm,median_dcm,total_demand,mean_demand,median_demand,mean_total_variable_cost,median_total_variable_cost,mean_price_final,median_price_final,mean_price_list,median_price_list,price_final_var,quantity_var,price_final_std,price_final_var_coeff,quantity_std,quantity_var_coeff
BODEGA AURRERA,7MWGD1730JQ,Dryer,18.0,0.43902439024390244,0.0,42050.64,1025.6253658536584,0.0,-49402.59568686867,-1204.941358216309,0.0,161594.0,3941.317073170732,0.0,4943.913643212613,4760.579391919191,8977.444444444445,8490.0,10051.111111111111,9890.0,650019.7280487807,0.35243902439024405,806.2380095534945,72.40587586716123,0.5936657514041416,0.8027777777777781
BODEGA AURRERA,8MWTW1612MJQ,Washing Machine,1317.0,12.542857142857143,3.0,3719.5,35.423809523809524,0.0,-5459876.984221727,-51998.8284211593,-11811.16545684524,9794330.0,93279.33333333333,19770.0,4092.9585893896447,3937.0551522817454,7436.848899012908,6990.0,9027.661811289863,8990.0,477216.1172161176,713.8659340659332,690.8083071417987,64.16912911588918,26.718269668261325,56.914140529174624
BODEGA AURRERA,8MWTW1613MJQ,Washing Machine,907.0,32.392857142857146,26.0,3599688.6100000003,128560.30750000001,34757.0,-631940.6442941179,-22569.308724789928,9096.624147058821,8210783.0,293242.25,237406.0,4665.522882352942,4665.522882352941,9052.682469680265,9290.0,9356.152149944874,9572.0,392460.4801587302,893.0621693121694,626.4666632461222,43.352948860537204,29.884145785218113,27.569725182735105
BODEGA AURRERA,8MWTW1713MJQ,Washing Machine,4295.0,43.826530612244895,30.0,8234999.42,84030.60632653061,0.0,-9889626.633053912,-100914.55748014196,-110352.96756185788,33946675.0,346394.64285714284,237950.0,4207.531710610084,4244.344906225303,7903.766006984866,7790.0,9609.953434225845,9490.0,404631.2855038919,2060.3716600042085,636.106347636849,51.19474502993933,45.39131701112239,47.01197268461291
BODEGA AURRERA,8MWTW1812WPM,Washing Machine,138.0,1.6428571428571428,0.0,0.0,0.0,0.0,-569551.3240061636,-6780.372904835282,0.0,1113720.0,13258.57142857143,0.0,4158.493479405332,4046.924142152996,8070.434782608696,7990.0,10522.609049479166,10490.0,795368.61732645,125.22030981067103,891.834411382769,98.5533789381982,11.190188104347087,76.22105814562585
BODEGA AURRERA,8MWTW1813MJM,Washing Machine,727.0,13.716981132075471,3.0,3725754.37,70297.25226415094,0.0,538507.8392797175,10160.525269428632,-4265.016098916476,6484650.0,122351.88679245283,29370.0,4204.662097516714,4051.765293970652,8919.738651994498,8890.0,9790.0,9790.0,547646.6981132076,489.0145137880991,740.0315521065353,61.39716862564702,22.113672553153606,35.650301555390996
BODEGA AURRERA,8MWTW1823WJM,Washing Machine,627.0,20.225806451612904,13.0,4644780.19,149831.61903225808,106526.75,1771797.5429366133,57154.75944956817,46950.2773339685,6036448.0,194724.12903225806,136370.0,4561.686669926553,4582.805589694731,9627.508771929824,10490.0,10575.515151515152,10490.0,729677.4236559139,728.1806451612903,854.211580146227,75.79088640078703,26.984822496382854,36.00255183413078
BODEGA AURRERA,8MWTW2023WPM,Washing Machine,736.0,9.08641975308642,4.0,0.0,0.0,0.0,-3088666.9153619283,-38131.69031311022,-17325.29471525412,7067340.0,87251.11111111111,37960.0,4219.030101955403,4114.757494872853,9602.364130434782,8990.0,12000.597826086956,11990.0,1173595.6790123475,568.7049382716059,1083.3262108027975,122.21945169654889,23.847535266178053,62.58845108695663
BODEGA AURRERA,8MWTW2024MJM,Washing Machine,73.0,1.140625,1.0,130664.88,2041.63875,0.0,-207290.14419734903,-3238.9085030835786,0.0,719672.0302734375,11244.875473022461,8841.01513671875,4463.570154830941,4263.70880461463,9858.520962649829,9490.0,11022.876712328767,10990.0,594776.6343018361,10.72594246031746,771.2176309588858,60.33122377638772,3.275048466865408,9.403565992607088
BODEGA AURRERA,8MWTW2224MPM,Washing Machine,133.0,3.8,1.0,0.0,0.0,0.0,-559165.8259385185,-15976.166455386243,-4353.1788706774505,1290170.0,36862.0,8890.0,4297.209428054454,4353.1788706774505,9700.526315789473,9990.0,11505.78947368421,11290.0,743983.1932773109,223.63529411764694,862.5446036451164,76.69513684699098,14.954440615337203,58.85139318885446
